Початок;Закінчення;Область;NE Type;NE;ID;Result;Підстава;Відповідальний;Інші учасники;Logs;Коментар;Change Data;User
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds1-kha29;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds1-kha29\2017\170221_upgrade_ds1-kha29;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds2-kha29;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds2-kha29\2017\170221_upgrade_ds2-kha29;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds1-kha918;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds1-kha918\2017\170221_upgrade_ds1-kha918;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds2-kha918;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds2-kha918\2017\170221_upgrade_ds2-kha918;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds3-kha918;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds3-kha918\2017\170221_upgrade_ds3-kha918;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds4-kha918;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds4-kha918\2017\170221_upgrade_ds4-kha918;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds1-kha951;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds1-kha951\2017\170221_upgrade_ds1-kha951;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds2-kha951;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds2-kha951\2017\170221_upgrade_ds2-kha951;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds3-kha951;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds3-kha951\2017\170221_upgrade_ds3-kha951;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds4-kha951;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds4-kha951\2017\170221_upgrade_ds4-kha951;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds1-kha982;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds1-kha982\2017\170221_upgrade_ds1-kha982;;;
20.02.2017 23:00;21.02.2017 4:00;Харківська область;DS;ds2-kha982;7.0.R13;Ok;Рекомендація Alcatel;Малько Павло Миколайович;;\\10.44.1.140\om\Logs\DS\ds2-kha982\2017\170221_upgrade_ds2-kha982;;;
